Y\X	0	0,04	0,08	0,12	0,16	0,2	0,24	0,28	0,32	0,36	0,4	0,44	0,48	0,52	0,56	0,6	0,64	0,68	0,72	0,76	0,8	0,84	0,88	0,92	0,96	1	1,04	1,08	1,12	1,16	1,2	1,24	1,28	1,32	1,36	1,4	1,44	1,48	1,52	1,56	1,6	1,64	1,68	1,72	1,76	1,8	1,84	1,88	1,92	1,96	
0,18	0,1476	0,21523226	0,28464733	0,35420261	0,42235882	0,48769978	0,54897781	0,60512134	0,65520824	0,69847534	0,73432693	0,76234452	0,78229562	0,79414065	0,79804725	0,79439341	0,78378039	0,76705119	0,74530925	0,71994621	0,69268061	0,66560203	0,64119949	0,62231951	0,61193344	0,61253913	0,62516264	0,64859971	0,68017316	0,71673063	0,75524307	0,7930386	0,82784662	0,85777129	0,88125176	0,89703002	0,90412815	0,90183267	0,88968676	0,86748718	0,83528107	0,79336414	0,74227921	0,68281284	0,61599213	0,54308154	0,46557954	0,38521648	0,30395062	0,22395777	
0,2	0,16	0,22386314	0,289643	0,35578732	0,42083187	0,48342368	0,54234026	0,59654776	0,6451619	0,68745212	0,72285059	0,75096169	0,77156895	0,78464982	0,79037581	0,78912406	0,78149126	0,76830299	0,75062794	0,72979861	0,70743499	0,68546131	0,66609762	0,65177772	0,64490879	0,64738768	0,65992493	0,68161287	0,71035536	0,74354376	0,77854077	0,81292135	0,84455739	0,87162873	0,89260991	0,90625468	0,91158236	0,90786826	0,89464033	0,87167774	0,83900973	0,79691522	0,74592186	0,68680334	0,62057596	0,54849455	0,47204707	0,3929479	0,31312786	0,23471552	
0,22	0,1716	0,23207883	0,2945956	0,35767898	0,41993423	0,48006653	0,53689633	0,58940495	0,63674491	0,6782161	0,71327627	0,74154836	0,76283685	0,77712541	0,78458983	0,78560845	0,7807676	0,77086956	0,75694388	0,74025946	0,72233236	0,70492383	0,69000639	0,67966066	0,67585049	0,68004126	0,69273564	0,71321465	0,73979431	0,77028876	0,8023925	0,83390625	0,86284129	0,88745634	0,90626593	0,9180387	0,92179295	0,91679421	0,90255551	0,87883857	0,84565495	0,80326699	0,75218777	0,69317899	0,62724722	0,5556391	0,4798335	0,40153151	0,32264118	0,24525305	
0,24	0,1824	0,239857	0,29946252	0,35981764	0,41959136	0,47754333	0,53254115	0,58357878	0,62983541	0,67063898	0,70546807	0,73397013	0,75595778	0,77142388	0,78055029	0,78371078	0,78147739	0,77462782	0,76415034	0,75124701	0,73733153	0,72401109	0,71303585	0,70618934	0,70508771	0,71088078	0,72392809	0,74363545	0,76861472	0,79700739	0,82678373	0,85594386	0,88262894	0,90517504	0,92213711	0,93229927	0,93467968	0,92853411	0,91336021	0,88890199	0,85515317	0,81235949	0,76102007	0,70188534	0,63595354	0,56446498	0,48889201	0,41092622	0,33245893	0,25555284	
0,26	0,1924	0,24717803	0,30420588	0,36214972	0,4197362	0,47577511	0,52917645	0,57896408	0,62432138	0,66460024	0,69930704	0,72809877	0,75080193	0,76741904	0,77813167	0,78330662	0,78350209	0,77946963	0,77215492	0,76269496	0,75240555	0,74275184	0,735289	0,73155361	0,73288874	0,74021041	0,75377577	0,77307454	0,79693372	0,82374795	0,851713	0,87900021	0,90386721	0,92472154	0,94015604	0,94896919	0,95017789	0,94302703	0,9269979	0,901816	0,86745648	0,82414841	0,77237718	0,71288286	0,64665707	0,57493593	0,49918869	0,42110228	0,34255837	0,26560236	
0,28	0,2016	0,25402459	0,30879229	0,36462721	0,42030818	0,47469056	0,52672359	0,57546526	0,62009743	0,65999607	0,69467817	0,72381867	0,74725607	0,76499591	0,77721843	0,78428426	0,78673605	0,78529931	0,78087911	0,77455	0,76753658	0,76117687	0,75685804	0,75591363	0,75947278	0,76827528	0,78250232	0,80170152	0,82485774	0,85056074	0,87718779	0,90305355	0,92651645	0,94604682	0,96027017	0,96799608	0,96823792	0,96022742	0,94342773	0,91754436	0,88253281	0,8386051	0,78623299	0,7261472	0,65933442	0,58702935	0,51070219	0,43204069	0,35292483	0,27539346	
0,3	0,21	0,26038131	0,31319195	0,36720728	0,4212531	0,47422578	0,52510994	0,57298996	0,61707448	0,65672469	0,69148031	0,72102957	0,74521632	0,7640491	0,77770717	0,78654313	0,79108519	0,79203437	0,79025643	0,78676815	0,78271217	0,77931517	0,7778229	0,77940359	0,78501799	0,79527206	0,81028983	0,82965904	0,852481	0,87749463	0,90322079	0,92809145	0,95054875	0,96911468	0,98244045	0,98934196	0,98882498	0,98010498	0,96262444	0,93606664	0,9003661	0,85571691	0,80257715	0,74166924	0,67397681	0,60073627	0,52342327	0,44373266	0,36355119	0,28492209	
0,32	0,2176	0,26623468	0,31737842	0,36985203	0,42252269	0,47432354	0,52426707	0,57147318	0,61516413	0,65469942	0,6896259	0,71963875	0,74458796	0,76448446	0,77950462	0,78999454	0,79646835	0,79960325	0,80022944	0,7993121	0,79792243	0,79719277	0,79825135	0,80213305	0,80966728	0,82135793	0,83728532	0,85706517	0,8798843	0,90459432	0,92982761	0,9541087	0,97594578	0,99390028	1,00664061	1,01298243	1,01191872	1,00264461	0,98457839	0,9573785	0,92095647	0,8754873	0,82141531	0,75945541	0,69059017	0,6160613	0,53735475	0,45617932	0,37443746	0,29418797	
0,34	0,2244	0,2715729	0,32132852	0,37252769	0,42407405	0,4749291	0,52414227	0,57084676	0,61429218	0,65384474	0,68903336	0,71956261	0,7452868	0,76621773	0,78252997	0,79456198	0,80281436	0,80794332	0,81074798	0,81214965	0,8131594	0,81483103	0,81819777	0,82418934	0,8335335	0,84665658	0,86360549	0,88401525	0,90713484	0,93189916	0,95702443	0,98110501	1,0026973	1,02038913	1,03285628	1,0389062	1,03751296	1,02784617	1,00929571	0,98149179	0,94432054	0,89793634	0,84276941	0,77952786	0,70919544	0,63302273	0,55251142	0,46939158	0,38559065	0,30319449	
0,36	0,2304	0,27638546	0,32502192	0,3752048	0,42586535	0,47600261	0,52467999	0,57105984	0,61440421	0,65409033	0,68963015	0,72072716	0,74723876	0,76917733	0,78671347	0,80017845	0,81006114	0,81700005	0,82176896	0,82525303	0,82841444	0,83224508	0,83770395	0,84563965	0,85670299	0,87126249	0,8893401	0,91058384	0,93428618	0,95944161	0,98482647	1,00908342	1,03079969	1,04857594	1,06108412	1,0671147	1,06561551	1,05572455	1,03679833	1,00843486	0,97049176	0,92310105	0,86667812	0,80192496	0,72982878	0,65165281	0,56892022	0,48339008	0,39702464	0,3119486	
0,38	0,2356	0,28066332	0,32844089	0,37785312	0,42786863	0,4775006	0,52584209	0,57206674	0,61544787	0,65537264	0,69135246	0,723069	0,75038204	0,77330173	0,79199483	0,80678626	0,81815547	0,82672719	0,83325497	0,83859652	0,8436777	0,84944394	0,85679908	0,86653211	0,87923819	0,89524458	0,91455505	0,93682565	0,96137808	0,98724672	1,01324661	1,0380489	1,06025482	1,07846355	1,09133127	1,09762159	1,09624789	1,08630964	1,06712423	1,03825272	0,9995208	0,95103584	0,89319731	0,8267018	0,75254204	0,67199802	0,58662044	0,49820542	0,40876031	0,32046084	
0,4	0,24	0,28439875	0,33156509	0,38045541	0,43005188	0,47939645	0,52759219	0,57382527	0,61737929	0,65764765	0,6941479	0,72653609	0,75466384	0,77853861	0,79832325	0,81433749	0,82705327	0,83708499	0,845173	0,85215674	0,85893747	0,86642957	0,87549977	0,88689725	0,90118013	0,91864836	0,93929374	0,96277685	0,98843687	1,01533109	1,0422942	1,06800735	1,09106907	1,1100622	1,12361463	1,13045245	1,12944533	1,11964646	1,1003276	1,07100754	1,03147606	0,98181299	0,92240071	0,85393068	0,77740335	0,69411961	0,605664	0,51387827	0,42082559	0,32874544	
0,42	0,2436	0,28757964	0,3343867	0,3829901	0,4323983	0,48166192	0,52989739	0,57630086	0,62016251	0,66088044	0,69797174	0,73108434	0,76004067	0,78484569	0,80565838	0,82279339	0,83671763	0,84804032	0,85749479	0,86591138	0,87417924	0,8831967	0,89381074	0,90674889	0,92254937	0,94149764	0,96357886	0,98845564	1,01547506	1,04370232	1,07197428	1,09896457	1,12325226	1,14338881	1,15796057	1,16564449	1,16525658	1,15579525	1,13647922	1,10677913	1,06644417	1,01552342	0,95438051	0,88370189	0,80449775	0,71809418	0,62611609	0,53045986	0,43325575	0,33682037	
